# of Calls,Call Frequency,Month
3393,Repeat Callers,July
11761,One-time Callers,July
3724,Repeat Callers,August
12606,One-time Callers,August
3999,Repeat Callers,September
12545,One-time Callers,September
4033,Repeat Callers,October
12620,One-time Callers,October
3998,Repeat Callers,November
12100,One-time Callers,November
3890,Repeat Callers,December
13370,One-time Callers,December
4339,Repeat Callers,January
14077,One-time Callers,January
